Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Notes
2.0,89,Yes,6.0,1,65.0,excellent
6.0,81,No,9.0,9,75.0,excellent
6.0,62,Yes,9.0,0,52.0,review
4.0,93,No,8.0,3,78.0,excellent
6.0,99,No,4.0,7,91.0,excellent
,54,Yes,9.0,5,33.0,review
2.0,70,Yes,5.0,8,47.0,review
,98,No,6.0,0,78.0,excellent
8.0,48,No,6.0,0,38.0,excellent
7.0,82,Yes,8.0,4,70.0,review
9.0,97,Yes,,5,98.0,excellent
8.0,92,Yes,4.0,7,87.0,excellent
5.0,64,Yes,6.0,2,49.0,excellent
2.0,64,Yes,6.0,5,41.0,excellent
5.0,88,No,5.0,2,71.0,review
8.0,60,No,4.0,7,54.0,review
9.0,48,No,4.0,3,42.0,excellent
,94,No,9.0,1,91.0,review
1.0,87,Yes,8.0,8,61.0,excellent
9.0,77,No,9.0,9,74.0,review
7.0,61,Yes,4.0,7,54.0,review
,82,Yes,5.0,5,81.0,review
8.0,62,Yes,4.0,2,52.0,excellent
1.0,88,Yes,9.0,1,65.0,excellent
8.0,43,Yes,7.0,3,36.0,review
8.0,68,No,7.0,3,61.0,review
,54,Yes,5.0,0,35.0,review
1.0,40,Yes,8.0,8,15.0,excellent
8.0,93,Yes,6.0,9,88.0,review
3.0,69,No,4.0,7,45.0,excellent
3.0,68,Yes,9.0,6,49.0,excellent
1.0,59,Yes,8.0,5,33.0,review
,72,Yes,9.0,2,60.0,excellent
7.0,80,No,,3,71.0,review
9.0,83,Yes,4.0,1,81.0,excellent
7.0,75,No,6.0,6,67.0,review
9.0,99,No,4.0,1,95.0,review
8.0,61,Yes,6.0,9,58.0,excellent
2.0,52,No,9.0,0,29.0,review
1.0,46,No,5.0,5,21.0,excellent
7.0,47,Yes,6.0,3,38.0,excellent
7.0,67,Yes,8.0,7,60.0,excellent
8.0,84,Yes,5.0,0,76.0,review
5.0,82,Yes,9.0,8,69.0,excellent
3.0,48,No,7.0,5,30.0,excellent
8.0,64,No,5.0,1,57.0,review
6.0,95,Yes,6.0,7,81.0,excellent
,55,Yes,5.0,4,36.0,excellent
1.0,49,Yes,9.0,4,25.0,review
,50,No,5.0,4,27.0,excellent
5.0,70,Yes,9.0,6,61.0,review
3.0,51,No,7.0,6,34.0,review
1.0,99,No,6.0,9,76.0,review
5.0,70,No,8.0,6,57.0,excellent
7.0,53,No,5.0,9,45.0,review
7.0,90,Yes,4.0,1,76.0,excellent
9.0,83,Yes,8.0,7,83.0,excellent
3.0,71,Yes,5.0,0,50.0,excellent
,89,No,8.0,1,81.0,review
1.0,92,No,4.0,6,66.0,excellent
4.0,56,Yes,,3,38.0,excellent
4.0,74,No,8.0,9,56.0,review
5.0,40,No,4.0,9,25.0,excellent
7.0,68,No,4.0,8,56.0,excellent
7.0,90,Yes,4.0,8,82.0,excellent
4.0,43,Yes,7.0,2,23.0,review
7.0,62,Yes,9.0,2,56.0,review
3.0,67,No,9.0,8,46.0,review
6.0,55,Yes,4.0,9,43.0,review
2.0,51,Yes,,7,30.0,excellent
9.0,92,Yes,8.0,0,92.0,excellent
5.0,60,No,4.0,5,45.0,excellent
6.0,84,No,5.0,6,70.0,excellent
4.0,56,No,4.0,7,36.0,excellent
7.0,79,No,4.0,1,71.0,review
9.0,52,No,9.0,0,49.0,excellent
7.0,91,Yes,6.0,3,82.0,review
,97,Yes,8.0,0,71.0,review
1.0,71,No,9.0,1,43.0,excellent
9.0,76,No,8.0,2,77.0,review
9.0,89,Yes,5.0,3,86.0,review
4.0,54,No,7.0,5,34.0,excellent
9.0,51,No,6.0,7,49.0,review
3.0,88,No,,8,69.0,review
7.0,96,No,,3,84.0,review
6.0,54,No,8.0,0,41.0,review
8.0,73,Yes,6.0,4,68.0,review
9.0,45,Yes,8.0,4,44.0,excellent
5.0,56,No,7.0,8,41.0,review
1.0,87,No,,5,58.0,excellent
3.0,88,Yes,4.0,4,68.0,review
8.0,96,No,8.0,9,94.0,review
6.0,59,Yes,4.0,9,47.0,excellent
8.0,48,No,5.0,4,40.0,excellent
,98,Yes,7.0,7,100.0,excellent
4.0,44,Yes,9.0,0,23.0,excellent
1.0,62,No,4.0,4,36.0,review
,72,No,7.0,0,47.0,review
4.0,77,Yes,8.0,6,60.0,excellent
7.0,95,No,9.0,6,83.0,review
2.0,53,Yes,8.0,9,33.0,review
3.0,56,No,5.0,7,36.0,review
1.0,96,No,8.0,6,74.0,excellent
5.0,58,No,4.0,8,42.0,review
1.0,72,Yes,5.0,7,47.0,review
8.0,40,Yes,7.0,7,31.0,review
1.0,52,No,5.0,2,26.0,excellent
1.0,85,Yes,7.0,9,58.0,review
2.0,66,No,6.0,3,42.0,review
2.0,45,Yes,4.0,3,18.0,excellent
6.0,98,No,4.0,0,85.0,excellent
7.0,45,Yes,7.0,5,36.0,excellent
5.0,72,Yes,8.0,1,58.0,excellent
,69,Yes,9.0,8,45.0,review
1.0,85,Yes,8.0,0,60.0,review
3.0,74,Yes,6.0,0,56.0,review
2.0,62,Yes,7.0,9,42.0,excellent
,49,No,6.0,5,33.0,review
6.0,90,No,7.0,0,77.0,excellent
7.0,58,Yes,6.0,2,51.0,excellent
,90,No,7.0,9,72.0,review
7.0,67,Yes,4.0,1,57.0,review
8.0,62,No,6.0,8,53.0,review
1.0,43,No,6.0,4,16.0,review
6.0,59,No,7.0,5,45.0,review
8.0,58,No,5.0,1,49.0,excellent
5.0,81,Yes,5.0,7,67.0,review
4.0,66,No,4.0,5,49.0,review
2.0,96,No,8.0,7,73.0,review
6.0,73,No,8.0,7,65.0,excellent
6.0,43,Yes,4.0,0,27.0,excellent
1.0,95,No,8.0,6,72.0,excellent
9.0,77,Yes,9.0,1,74.0,excellent
6.0,46,Yes,9.0,7,38.0,review
3.0,87,No,9.0,1,67.0,review
4.0,46,Yes,9.0,3,28.0,review
4.0,89,No,7.0,1,73.0,review
3.0,91,No,5.0,6,72.0,excellent
3.0,65,No,4.0,4,42.0,review
,65,No,7.0,8,47.0,review
4.0,93,No,9.0,4,77.0,excellent
7.0,58,No,,7,49.0,excellent
4.0,48,No,5.0,1,30.0,excellent
9.0,59,Yes,8.0,2,54.0,review
1.0,81,Yes,7.0,5,56.0,excellent
8.0,84,No,5.0,6,75.0,excellent
7.0,89,No,4.0,9,78.0,review
2.0,55,Yes,6.0,7,32.0,excellent
8.0,93,No,7.0,2,89.0,excellent
1.0,56,Yes,4.0,6,29.0,review
,61,Yes,4.0,7,57.0,review
9.0,52,No,5.0,9,48.0,review
2.0,51,No,4.0,5,27.0,review
7.0,49,Yes,7.0,3,38.0,excellent
,40,Yes,9.0,5,18.0,review
7.0,71,No,7.0,8,66.0,excellent
9.0,69,No,4.0,2,65.0,excellent
,47,Yes,,1,27.0,excellent
1.0,60,Yes,7.0,4,33.0,review
2.0,61,Yes,6.0,6,37.0,review
1.0,57,No,9.0,2,29.0,review
5.0,41,No,8.0,4,26.0,review
5.0,87,No,5.0,3,72.0,review
7.0,83,Yes,5.0,6,77.0,excellent
9.0,48,Yes,8.0,1,45.0,review
9.0,42,No,8.0,6,41.0,excellent
3.0,93,Yes,7.0,1,73.0,review
3.0,65,Yes,4.0,2,43.0,excellent
3.0,60,Yes,4.0,4,39.0,excellent
4.0,69,Yes,6.0,6,54.0,review
8.0,67,Yes,9.0,5,62.0,excellent
,75,No,4.0,6,63.0,excellent
8.0,65,No,6.0,5,59.0,excellent
1.0,73,No,,0,46.0,excellent
8.0,47,No,5.0,4,42.0,review
4.0,49,No,5.0,0,30.0,review
1.0,87,Yes,9.0,6,63.0,review
8.0,94,Yes,7.0,3,89.0,excellent
4.0,82,Yes,8.0,4,62.0,excellent
6.0,89,No,8.0,0,77.0,excellent
8.0,93,Yes,9.0,7,88.0,review
4.0,53,Yes,6.0,3,35.0,excellent
3.0,79,Yes,9.0,2,60.0,excellent
9.0,94,No,8.0,0,92.0,review
3.0,54,Yes,6.0,3,38.0,review
9.0,56,Yes,8.0,2,56.0,review
,92,No,7.0,7,70.0,excellent
2.0,57,No,5.0,8,35.0,excellent
2.0,71,Yes,5.0,4,47.0,review
6.0,77,No,6.0,8,66.0,review
3.0,62,Yes,9.0,0,43.0,excellent
9.0,85,No,8.0,6,81.0,excellent
4.0,62,Yes,4.0,6,43.0,excellent
,74,Yes,7.0,5,46.0,excellent
4.0,78,No,8.0,3,61.0,review
1.0,54,No,4.0,8,27.0,excellent
5.0,92,No,7.0,2,77.0,review
4.0,63,No,7.0,0,43.0,excellent
8.0,67,Yes,,1,60.0,review
8.0,55,No,6.0,2,48.0,excellent
7.0,55,Yes,8.0,1,47.0,review
3.0,79,Yes,,5,60.0,excellent
1.0,78,Yes,8.0,6,53.0,review
1.0,45,No,7.0,4,19.0,review
3.0,41,Yes,,4,23.0,excellent
6.0,93,Yes,5.0,6,81.0,review
7.0,52,No,6.0,5,41.0,excellent
6.0,83,Yes,4.0,7,71.0,excellent
,86,Yes,4.0,8,75.0,excellent
6.0,98,Yes,9.0,1,89.0,excellent
3.0,48,No,5.0,1,28.0,excellent
6.0,73,Yes,7.0,0,60.0,excellent
8.0,56,Yes,5.0,6,54.0,excellent
2.0,66,Yes,6.0,3,41.0,review
5.0,68,No,,8,52.0,review
1.0,76,No,8.0,5,53.0,excellent
1.0,82,No,4.0,6,52.0,review
5.0,61,Yes,6.0,6,47.0,review
3.0,90,Yes,7.0,7,71.0,review
4.0,63,Yes,5.0,3,42.0,review
3.0,46,Yes,4.0,2,21.0,excellent
1.0,73,Yes,4.0,2,48.0,excellent
1.0,87,No,8.0,9,64.0,excellent
5.0,51,Yes,5.0,7,38.0,excellent
6.0,62,Yes,8.0,2,49.0,review
3.0,54,No,8.0,7,35.0,review
9.0,72,No,7.0,1,73.0,review
5.0,96,Yes,4.0,4,81.0,excellent
8.0,52,No,9.0,4,47.0,review
1.0,62,No,5.0,6,36.0,review
5.0,77,No,7.0,4,63.0,excellent
3.0,71,Yes,9.0,8,52.0,excellent
,84,No,7.0,2,58.0,review
4.0,89,Yes,7.0,8,77.0,review
,74,No,6.0,0,58.0,excellent
7.0,40,Yes,6.0,2,33.0,excellent
1.0,86,Yes,7.0,3,67.0,review
3.0,97,Yes,6.0,5,76.0,review
2.0,84,No,5.0,9,62.0,excellent
,44,No,4.0,7,37.0,excellent
,96,No,,6,86.0,excellent
3.0,52,Yes,5.0,7,37.0,excellent
8.0,93,No,4.0,5,88.0,excellent
8.0,44,No,6.0,5,38.0,review
2.0,99,Yes,9.0,5,76.0,review
6.0,71,No,5.0,2,57.0,excellent
7.0,90,Yes,8.0,9,82.0,excellent
2.0,60,No,,3,35.0,excellent
,63,Yes,4.0,5,41.0,review
,99,Yes,4.0,6,75.0,excellent
8.0,57,No,8.0,2,51.0,review
1.0,60,Yes,8.0,3,34.0,excellent
9.0,93,No,7.0,5,92.0,review
6.0,49,No,6.0,0,39.0,excellent
7.0,63,No,5.0,6,56.0,excellent
7.0,79,No,5.0,0,69.0,review
3.0,86,Yes,5.0,9,69.0,review
2.0,60,Yes,6.0,8,40.0,excellent
9.0,64,Yes,7.0,9,63.0,excellent
8.0,91,No,5.0,8,86.0,review
,99,No,4.0,8,89.0,review
,96,Yes,4.0,3,94.0,review
4.0,98,Yes,4.0,1,79.0,excellent
4.0,62,No,8.0,6,44.0,review
1.0,61,No,8.0,3,33.0,review
8.0,43,No,6.0,4,36.0,excellent
3.0,73,Yes,5.0,0,50.0,excellent
7.0,95,No,8.0,9,94.0,review
2.0,45,Yes,4.0,5,22.0,excellent
2.0,67,No,8.0,6,44.0,excellent
7.0,70,Yes,4.0,2,60.0,excellent
6.0,74,No,5.0,9,64.0,review
3.0,78,Yes,,1,58.0,excellent
9.0,81,Yes,7.0,9,78.0,review
6.0,62,Yes,7.0,6,51.0,review
6.0,45,No,4.0,0,30.0,review
1.0,55,Yes,8.0,1,29.0,excellent
4.0,41,Yes,8.0,2,22.0,excellent
6.0,63,No,4.0,3,51.0,excellent
6.0,56,Yes,5.0,4,45.0,review
5.0,84,Yes,4.0,3,70.0,excellent
,40,No,5.0,9,10.0,excellent
8.0,45,Yes,6.0,2,38.0,review
,44,No,6.0,0,30.0,excellent
,96,Yes,4.0,6,82.0,review
7.0,84,No,6.0,9,74.0,excellent
4.0,99,Yes,8.0,5,87.0,review
6.0,94,Yes,5.0,1,77.0,excellent
,89,Yes,7.0,1,72.0,excellent
3.0,68,No,7.0,2,51.0,excellent
7.0,51,Yes,6.0,7,40.0,review
8.0,78,Yes,5.0,7,72.0,review
4.0,86,No,8.0,9,68.0,review
2.0,42,No,7.0,9,22.0,excellent
3.0,87,No,8.0,9,67.0,excellent
1.0,40,Yes,8.0,9,18.0,review
,66,Yes,7.0,7,64.0,review
3.0,87,Yes,7.0,6,66.0,excellent
7.0,63,No,6.0,1,50.0,excellent
5.0,83,No,5.0,0,68.0,review
5.0,58,Yes,4.0,5,44.0,review
7.0,98,Yes,5.0,7,90.0,review
9.0,47,No,4.0,0,41.0,excellent
,94,No,7.0,2,83.0,excellent
1.0,83,No,8.0,0,57.0,excellent
,86,Yes,5.0,9,64.0,review
2.0,41,No,8.0,8,18.0,excellent
6.0,69,No,5.0,6,62.0,review
9.0,69,No,9.0,7,66.0,review
8.0,88,No,5.0,8,85.0,excellent
5.0,78,Yes,8.0,2,62.0,review
1.0,84,No,9.0,9,62.0,review
7.0,71,Yes,6.0,1,62.0,excellent
5.0,40,Yes,,5,26.0,review
6.0,77,No,6.0,4,66.0,excellent
7.0,52,No,6.0,3,43.0,excellent
3.0,50,Yes,5.0,5,30.0,excellent
3.0,49,No,7.0,5,25.0,review
,87,Yes,9.0,2,77.0,review
6.0,98,No,5.0,1,88.0,review
,65,Yes,4.0,8,62.0,review
,95,Yes,5.0,7,82.0,excellent
1.0,94,Yes,9.0,3,73.0,review
,59,No,8.0,5,44.0,review
5.0,56,Yes,5.0,2,40.0,excellent
5.0,56,Yes,4.0,7,39.0,excellent
,43,No,5.0,2,34.0,excellent
4.0,44,No,9.0,1,27.0,review
1.0,99,Yes,4.0,6,73.0,excellent
5.0,62,Yes,7.0,2,46.0,excellent
7.0,85,No,9.0,8,78.0,review
6.0,91,Yes,5.0,2,80.0,review
5.0,49,No,4.0,7,33.0,review
4.0,85,No,9.0,1,68.0,excellent
2.0,67,No,7.0,8,45.0,review
4.0,72,Yes,8.0,0,56.0,excellent
3.0,82,No,6.0,2,58.0,excellent
1.0,65,Yes,4.0,1,37.0,excellent
8.0,94,Yes,8.0,6,88.0,review
5.0,89,No,7.0,4,75.0,review
4.0,87,No,8.0,7,70.0,review
8.0,68,No,5.0,1,62.0,review
7.0,66,No,6.0,7,57.0,excellent
2.0,57,Yes,4.0,6,32.0,review
1.0,79,Yes,9.0,4,53.0,review
4.0,99,No,7.0,1,82.0,review
8.0,49,Yes,6.0,9,41.0,review
2.0,97,No,7.0,6,75.0,excellent
3.0,81,Yes,8.0,9,63.0,excellent
1.0,44,Yes,7.0,3,17.0,excellent
1.0,49,Yes,7.0,3,24.0,review
3.0,89,No,8.0,7,69.0,excellent
5.0,60,Yes,8.0,5,47.0,excellent
3.0,63,Yes,6.0,8,43.0,review
1.0,77,Yes,4.0,1,48.0,review
1.0,42,Yes,8.0,4,17.0,excellent
,79,No,6.0,5,75.0,excellent
2.0,70,Yes,7.0,7,54.0,excellent
,80,No,7.0,3,59.0,review
2.0,76,No,9.0,6,56.0,review
3.0,41,Yes,5.0,6,20.0,excellent
7.0,41,Yes,8.0,3,34.0,excellent
1.0,78,No,6.0,0,54.0,excellent
8.0,88,No,9.0,2,83.0,excellent
2.0,81,No,6.0,1,59.0,review
3.0,83,Yes,4.0,2,63.0,excellent
9.0,73,Yes,9.0,4,72.0,excellent
7.0,81,No,6.0,0,70.0,excellent
4.0,59,No,8.0,4,41.0,review
5.0,72,No,6.0,1,54.0,review
2.0,43,Yes,5.0,3,21.0,excellent
,84,Yes,7.0,5,83.0,excellent
4.0,83,No,7.0,8,64.0,excellent
,50,Yes,9.0,9,51.0,excellent
5.0,81,No,6.0,5,66.0,excellent
9.0,86,Yes,6.0,9,83.0,excellent
4.0,44,No,6.0,1,26.0,review
5.0,64,Yes,6.0,7,49.0,review
9.0,88,Yes,5.0,4,85.0,review
8.0,99,Yes,8.0,8,95.0,excellent
3.0,76,Yes,5.0,9,56.0,review
1.0,73,Yes,5.0,8,50.0,review
3.0,48,Yes,5.0,3,23.0,excellent
,45,Yes,7.0,0,26.0,excellent
2.0,57,No,5.0,8,30.0,excellent
,53,No,6.0,8,28.0,review
7.0,58,No,5.0,7,48.0,excellent
8.0,53,Yes,6.0,4,46.0,review
,79,Yes,9.0,4,73.0,review
,56,Yes,8.0,9,45.0,review
1.0,99,No,7.0,5,76.0,review
7.0,74,No,8.0,0,71.0,review
7.0,68,No,9.0,8,60.0,excellent
9.0,81,No,8.0,4,77.0,review
3.0,56,No,7.0,6,36.0,excellent
9.0,98,No,6.0,7,96.0,review
1.0,82,Yes,9.0,4,62.0,review
1.0,47,No,9.0,2,22.0,excellent
,40,Yes,6.0,5,21.0,excellent
9.0,84,No,6.0,6,79.0,excellent
6.0,92,No,7.0,3,82.0,excellent
3.0,75,Yes,5.0,8,55.0,excellent
1.0,46,Yes,4.0,3,22.0,excellent
4.0,85,Yes,5.0,9,70.0,excellent
9.0,44,No,5.0,1,37.0,excellent
,63,No,8.0,8,42.0,review
9.0,67,Yes,4.0,3,64.0,excellent
,82,No,,3,72.0,review
4.0,56,Yes,5.0,9,42.0,review
3.0,76,No,7.0,0,56.0,excellent
5.0,59,No,5.0,1,43.0,review
5.0,42,No,6.0,2,24.0,review
3.0,76,Yes,5.0,6,55.0,review
9.0,65,No,9.0,8,64.0,excellent
4.0,54,Yes,8.0,4,34.0,review
5.0,90,Yes,8.0,3,78.0,review
4.0,87,Yes,5.0,1,71.0,excellent
5.0,47,Yes,8.0,6,33.0,review
7.0,52,Yes,7.0,5,46.0,review
,87,Yes,4.0,6,86.0,review
7.0,42,Yes,5.0,7,34.0,review
,40,Yes,7.0,8,26.0,review
7.0,48,Yes,9.0,9,44.0,review
5.0,70,No,7.0,4,53.0,review
3.0,80,Yes,7.0,4,61.0,excellent
,93,No,9.0,3,84.0,excellent
2.0,65,Yes,6.0,2,40.0,excellent
9.0,56,No,5.0,6,53.0,review
1.0,95,No,5.0,4,67.0,review
6.0,73,No,5.0,6,58.0,excellent
7.0,48,No,4.0,1,41.0,review
8.0,95,No,7.0,8,89.0,excellent
9.0,90,No,5.0,8,85.0,review
2.0,52,Yes,,8,33.0,excellent
2.0,44,Yes,6.0,4,20.0,review
,80,Yes,,9,66.0,review
5.0,52,Yes,9.0,8,38.0,excellent
6.0,40,Yes,4.0,0,25.0,excellent
3.0,64,Yes,9.0,1,43.0,review
8.0,86,No,6.0,9,79.0,excellent
1.0,43,Yes,,4,16.0,review
6.0,75,No,9.0,4,67.0,review
4.0,91,No,9.0,5,80.0,excellent
1.0,49,No,8.0,7,26.0,excellent
7.0,67,No,7.0,0,57.0,excellent
9.0,96,No,5.0,9,91.0,review
,45,No,6.0,8,29.0,review
4.0,66,Yes,9.0,3,48.0,excellent
6.0,95,No,,7,84.0,review
3.0,51,No,,4,33.0,review
6.0,91,Yes,,0,82.0,review
7.0,87,Yes,8.0,8,81.0,review
3.0,42,Yes,4.0,7,24.0,review
7.0,85,Yes,9.0,4,81.0,review
3.0,72,Yes,8.0,3,54.0,excellent
2.0,49,Yes,5.0,7,25.0,excellent
4.0,70,Yes,6.0,8,53.0,review
8.0,54,No,6.0,6,48.0,review
9.0,46,Yes,7.0,3,40.0,review
7.0,75,No,8.0,6,66.0,review
1.0,53,Yes,8.0,5,29.0,excellent
3.0,95,Yes,4.0,2,73.0,excellent
9.0,87,No,8.0,9,89.0,excellent
,53,Yes,6.0,2,27.0,excellent
,42,Yes,8.0,0,40.0,review
8.0,88,Yes,7.0,4,83.0,review
1.0,92,Yes,7.0,7,69.0,excellent
6.0,85,Yes,6.0,5,72.0,excellent
5.0,89,Yes,6.0,7,77.0,review
6.0,42,Yes,6.0,6,32.0,review
5.0,61,No,8.0,1,49.0,excellent
6.0,58,Yes,8.0,7,44.0,review
5.0,74,No,5.0,3,57.0,excellent
5.0,51,No,9.0,4,34.0,excellent
4.0,93,No,9.0,7,76.0,review
3.0,44,No,4.0,4,22.0,excellent
3.0,49,No,8.0,4,30.0,excellent
,80,No,5.0,5,67.0,excellent
9.0,72,No,,6,71.0,review
2.0,52,Yes,7.0,8,29.0,review
9.0,74,Yes,8.0,6,74.0,excellent
1.0,90,Yes,5.0,5,67.0,review
1.0,71,No,7.0,9,46.0,review
5.0,50,Yes,4.0,3,34.0,review
6.0,87,No,7.0,9,76.0,excellent
6.0,77,No,4.0,1,64.0,review
3.0,63,Yes,9.0,8,46.0,review
7.0,74,No,9.0,9,68.0,review
9.0,58,No,6.0,4,58.0,excellent
8.0,45,Yes,6.0,4,41.0,excellent
6.0,79,No,7.0,2,64.0,review
8.0,93,Yes,6.0,2,84.0,excellent
5.0,84,No,8.0,0,70.0,review
8.0,83,No,7.0,4,77.0,excellent
4.0,81,Yes,5.0,2,60.0,excellent
8.0,74,Yes,8.0,1,65.0,excellent
2.0,43,Yes,7.0,8,21.0,review
5.0,72,No,9.0,9,60.0,excellent
9.0,52,No,4.0,5,48.0,excellent
4.0,95,Yes,6.0,2,77.0,excellent
6.0,75,Yes,6.0,6,63.0,review
1.0,93,Yes,6.0,8,68.0,review
9.0,82,No,7.0,8,81.0,excellent
1.0,58,No,8.0,0,29.0,review
5.0,82,Yes,4.0,1,66.0,excellent
4.0,51,Yes,6.0,7,36.0,review
,50,Yes,8.0,0,29.0,excellent
6.0,45,No,5.0,2,32.0,review
2.0,51,Yes,9.0,6,31.0,review
3.0,66,Yes,5.0,7,45.0,review
5.0,80,Yes,4.0,4,65.0,review
9.0,64,No,6.0,1,57.0,excellent
,81,No,5.0,2,58.0,excellent
8.0,42,Yes,,8,38.0,excellent
2.0,42,No,8.0,9,22.0,excellent
5.0,59,Yes,8.0,6,48.0,excellent
7.0,67,Yes,5.0,0,59.0,review
8.0,62,Yes,6.0,2,58.0,review
1.0,87,Yes,9.0,8,62.0,review
6.0,42,No,4.0,6,30.0,excellent
1.0,81,Yes,6.0,1,56.0,review
2.0,63,Yes,7.0,5,40.0,review
1.0,82,No,5.0,8,59.0,excellent
5.0,79,Yes,7.0,3,65.0,excellent
9.0,45,No,5.0,9,43.0,excellent
6.0,59,Yes,4.0,1,48.0,excellent
1.0,50,Yes,6.0,2,24.0,excellent
1.0,71,Yes,9.0,6,51.0,review
2.0,99,Yes,6.0,3,81.0,excellent
9.0,66,No,5.0,6,62.0,excellent
3.0,60,Yes,8.0,4,43.0,review
1.0,83,No,7.0,7,63.0,review
5.0,87,No,9.0,7,73.0,review
7.0,89,No,9.0,4,76.0,review
6.0,52,Yes,6.0,6,43.0,excellent
,61,No,6.0,5,34.0,review
5.0,74,No,5.0,7,57.0,review
5.0,86,No,8.0,8,72.0,excellent
6.0,61,Yes,7.0,4,47.0,excellent
3.0,67,Yes,8.0,6,52.0,excellent
5.0,60,No,9.0,0,49.0,excellent
7.0,85,No,8.0,7,77.0,review
5.0,57,Yes,5.0,2,41.0,excellent
5.0,70,No,8.0,0,56.0,review
5.0,99,No,7.0,5,89.0,review
3.0,85,No,9.0,7,65.0,review
1.0,76,Yes,4.0,2,49.0,review
5.0,60,No,9.0,0,48.0,excellent
,53,No,4.0,2,47.0,excellent
1.0,64,Yes,7.0,4,37.0,excellent
3.0,66,No,9.0,7,48.0,review
4.0,79,Yes,9.0,8,61.0,excellent
,99,Yes,9.0,8,77.0,excellent
1.0,99,Yes,9.0,3,75.0,review
8.0,62,No,5.0,7,57.0,excellent
2.0,70,No,6.0,4,45.0,review
8.0,86,No,9.0,2,82.0,review
7.0,99,No,5.0,4,90.0,excellent
2.0,68,No,7.0,1,42.0,excellent
,86,No,9.0,5,74.0,review
6.0,69,No,8.0,0,60.0,excellent
3.0,90,No,9.0,5,73.0,excellent
,65,Yes,9.0,4,40.0,excellent
1.0,59,No,4.0,8,32.0,review
6.0,77,No,8.0,6,67.0,review
,58,Yes,9.0,5,46.0,review
9.0,66,No,9.0,6,65.0,excellent
1.0,64,Yes,9.0,9,42.0,review
7.0,79,No,5.0,4,69.0,review
5.0,77,No,7.0,0,62.0,review
5.0,91,Yes,4.0,8,75.0,excellent
2.0,62,Yes,9.0,4,40.0,excellent
3.0,68,No,7.0,3,43.0,excellent
7.0,54,Yes,4.0,5,42.0,review
6.0,98,No,4.0,4,84.0,review
2.0,42,No,4.0,0,15.0,excellent
6.0,49,No,9.0,1,39.0,excellent
,54,No,5.0,3,26.0,excellent
2.0,95,No,9.0,7,73.0,excellent
2.0,55,No,9.0,4,34.0,excellent
3.0,56,Yes,7.0,6,34.0,excellent
2.0,58,Yes,6.0,1,37.0,excellent
4.0,50,Yes,6.0,7,34.0,excellent
9.0,87,No,6.0,4,85.0,review
6.0,44,Yes,7.0,3,31.0,review
1.0,44,No,8.0,8,18.0,excellent
8.0,97,Yes,7.0,5,92.0,review
7.0,53,No,4.0,3,44.0,excellent
3.0,89,No,9.0,7,72.0,review
,65,No,8.0,2,40.0,review
5.0,47,No,4.0,9,31.0,review
4.0,44,No,9.0,1,25.0,review
8.0,46,Yes,9.0,6,44.0,review
1.0,55,No,4.0,3,27.0,review
1.0,94,Yes,7.0,3,66.0,excellent
